City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,al jumum,21.6169,39.6981,30.77,38,100,0.31,SA,1682111528
134,invercargill,-46.4,168.35,11.68,82,91,0.89,NZ,1682111528
135,turek,52.0155,18.5005,9.23,64,42,2.65,PL,1682111529
136,manthani,18.65,79.6667,30.03,40,62,1.64,IN,1682111529
137,happy valley-goose bay,53.3168,-60.3315,3.3,73,91,2.19,CA,1682111529
138,bansgaon,26.5586,83.3481,25.92,38,54,2.81,IN,1682111529
139,sisimiut,66.9395,-53.6735,0.62,77,100,1.04,GL,1682111530
140,garcia,25.8167,-100.5833,34.65,42,30,3.94,MX,1682111530
141,mangrol,21.1167,70.1167,25.71,83,3,5.05,IN,1682111531
142,luderitz,-26.6481,15.1594,14.37,71,33,3.79,NA,1682111531
143,avarua,-21.2078,-159.775,27.03,74,40,3.6,CK,1682111531
144,saipan,15.1355,145.701,26.47,100,100,5.81,MP,1682111532
145,dhidhdhoo,6.8833,73.1,28.68,70,2,1.21,MV,1682111532
146,takoradi,4.8845,-1.7554,27.49,85,90,5.3,GH,1682111532
147,al mijlad,11.0333,27.7333,31.13,8,3,5.27,SD,1682111533
148,saint-francois,46.4154,3.9054,14.69,66,0,6.17,FR,1682111426
149,kodiak,57.79,-152.4072,11.73,32,0,5.14,US,1682111534
150,new norfolk,-42.7826,147.0587,14.72,77,100,1.61,AU,1682111535
151,al khums,32.6486,14.2619,17.45,89,13,6.15,LY,1682111535
152,umm kaddadah,13.6017,26.6876,29.08,10,0,5.5,SD,1682111535
153,college,64.8569,-147.8028,4.39,59,75,0.45,US,1682111535
154,sibiti,-3.6819,13.3499,20.99,98,100,1.19,CG,1682111536
155,brokopondo,4.75,-55.1667,26.24,89,98,4.22,SR,1682111537
156,nemuro,43.3236,145.575,3.74,67,25,8.21,JP,1682111270
157,cill airne,52.05,-9.5167,8.38,94,94,1.81,IE,1682111537
158,selma,36.5708,-119.6121,25.85,35,0,0.0,US,1682111537
159,nadym,65.5333,72.5167,-1.85,92,100,3.01,RU,1682111538
160,san julian,21.0167,-102.1667,30.97,9,36,5.78,MX,1682111538
161,oranjemund,-28.55,16.4333,12.68,77,67,3.66,NA,1682111538
162,sinabang,2.4803,96.3801,26.78,82,4,0.56,ID,1682111538
163,champerico,14.3,-91.9167,30.68,62,96,6.87,GT,1682111539
164,tamanrasset,22.785,5.5228,22.95,11,95,4.63,DZ,1682111539
165,vorgashor,67.5833,63.95,-7.26,98,96,2.72,RU,1682111539
166,ribeira grande,38.5167,-28.7,17.1,92,34,7.15,PT,1682111539
167,lihue,21.9789,-159.3672,25.97,79,0,4.63,US,1682111388
168,alofi,-19.0595,-169.9187,25.62,65,2,6.65,NU,1682111540
169,ola,59.5833,151.2833,0.15,74,55,8.1,RU,1682111540
170,weno,7.4515,151.8468,26.97,89,75,2.57,FM,1682111540
171,kapuskasing,49.4169,-82.4331,3.05,93,100,5.14,CA,1682111342
172,pauini,-7.7136,-66.9764,27.84,77,100,0.66,BR,1682111540
173,bredasdorp,-34.5322,20.0403,11.86,65,100,1.31,ZA,1682111541
174,dalandzadgad,43.5708,104.425,3.47,16,37,1.86,MN,1682111298
175,shingu,33.7333,135.9833,10.85,59,66,3.67,JP,1682111541
176,san antonio de pale,-1.4014,5.6325,27.77,72,100,6.37,GQ,1682111541
177,yeraliyev,43.2,51.65,13.16,74,100,6.97,KZ,1682111542
178,fortuna,40.5982,-124.1573,17.74,69,100,2.24,US,1682111542
179,arkhangel'sk,64.5401,40.5433,1.06,100,75,1.0,RU,1682111542
180,nassau village-ratliff,30.5111,-81.8093,27.99,63,75,7.2,US,1682111543
181,rio claro,-22.4114,-47.5614,17.12,76,0,2.35,BR,1682111537
182,geraldton,-28.7667,114.6,14.23,62,100,3.09,AU,1682111543
183,phek,25.6667,94.5,12.67,77,100,0.27,IN,1682111543
184,ishinomaki,38.4167,141.3,7.9,50,16,8.63,JP,1682111544
185,palmerston north,-40.35,175.6167,16.14,98,100,0.45,NZ,1682111544
186,kirensk,57.7853,108.1119,-6.12,97,100,1.56,RU,1682111544
187,sitka,57.0531,-135.33,13.94,38,75,4.63,US,1682111544
188,pimentel,-6.8367,-79.9342,28.16,61,20,4.12,PE,1682111544
189,siracusa,37.0881,15.2792,12.65,86,4,3.35,IT,1682111483
190,remire-montjoly,4.9167,-52.2667,27.02,89,40,1.03,GF,1682111545
191,okhotsk,59.3833,143.3,-1.62,84,96,3.68,RU,1682111545
192,hassi messaoud,31.6804,6.0729,22.84,42,0,8.26,DZ,1682111545
193,west island,-12.1568,96.8225,26.99,78,75,7.2,CC,1682111545
194,imbituba,-28.24,-48.6703,19.24,79,3,2.81,BR,1682111546
195,agat village,13.3886,144.6585,27.98,83,78,6.28,GU,1682111546
196,simanggang,1.2472,111.4528,22.77,99,58,0.3,MY,1682111546
197,port elizabeth,-33.918,25.5701,14.62,86,96,0.85,ZA,1682111546
198,lerwick,60.1545,-1.1494,6.0,84,6,2.96,GB,1682111546
199,khrenovoye,51.12,40.2889,7.17,91,100,5.69,RU,1682111546
200,hithadhoo,-0.6,73.0833,28.67,76,74,3.23,MV,1682111546
201,merizo village,13.2658,144.6691,27.77,87,93,6.49,GU,1682111547
202,lompoc,34.6391,-120.4579,30.99,81,11,6.71,US,1682111547
203,hotan,37.0997,79.9269,9.89,54,100,0.48,CN,1682111547
204,toliara,-23.35,43.6667,23.1,88,6,1.79,MG,1682111547
205,ouidah,6.3631,2.0851,28.18,80,100,6.13,BJ,1682111547
206,grande prairie,55.1667,-118.8027,8.53,33,15,3.12,CA,1682111489
207,kos,36.8933,27.2889,15.69,77,100,3.3,GR,1682111548
208,navoiy,40.0844,65.3792,15.71,33,0,6.17,UZ,1682111549
209,stanley,54.868,-1.6985,7.93,88,0,3.6,GB,1682111549
210,yeppoon,-23.1333,150.7333,17.88,76,61,6.71,AU,1682111549
211,coronel oviedo,-25.4167,-56.45,21.99,51,0,2.41,PY,1682111549
212,cooma,-36.2333,149.1333,5.98,90,0,0.62,AU,1682111550
213,juegang,32.3174,121.1855,10.83,64,4,5.31,CN,1682111550
214,pemangkat,1.1667,108.9667,25.19,87,82,2.11,ID,1682111550
215,anadyr,64.75,177.4833,-8.72,85,0,3.0,RU,1682111550
216,wanning,18.8003,110.3967,26.06,96,100,4.6,CN,1682111551
217,tambo,-14.8,-73.9167,7.68,64,92,5.11,PE,1682111551
218,beira,-19.8436,34.8389,24.05,100,0,1.03,MZ,1682111551
219,san lawrenz,36.0553,14.204,15.48,91,0,1.79,MT,1682111552
220,labrador city,52.9463,-66.9114,2.07,79,100,1.71,CA,1682111552
221,gwadar,25.1216,62.3254,26.32,73,1,3.79,PK,1682111552
222,yenisarbademli,37.7078,31.3864,9.25,70,30,1.0,TR,1682111552
223,fort bragg,35.139,-79.006,29.46,33,40,5.14,US,1682111553
224,severo-yeniseyskiy,60.3725,93.0408,-15.4,100,85,1.68,RU,1682111553
225,dakhla,23.6848,-15.958,19.19,80,20,4.35,EH,1682111553
226,nuuk,64.1835,-51.7216,-0.07,82,100,2.68,GL,1682111553
227,hardenberg,52.5758,6.6194,13.9,5,87,2.24,NL,1682111553
228,iquique,-20.2208,-70.1431,22.02,74,2,5.09,CL,1682111376
229,sur,22.5667,59.5289,28.16,60,11,4.97,OM,1682111554
230,souillac,-20.5167,57.5167,25.07,86,4,4.3,MU,1682111554
231,new plymouth,-39.0667,174.0833,19.2,1,100,7.24,NZ,1682111554
232,hailar,49.2,119.7,-5.41,40,0,3.47,CN,1682111555
233,keflavik,64.0049,-22.5624,4.24,81,40,8.23,IS,1682111555
234,nabire,-3.3667,135.4833,23.9,92,100,1.39,ID,1682111555
235,namanga,-2.5433,36.7905,20.48,79,100,2.05,KE,1682111556
236,bikenibeu village,1.3673,173.1241,29.98,74,40,4.63,KI,1682111556
237,la maddalena,41.2142,9.4083,11.03,75,37,1.91,IT,1682111556
238,tromso,69.6496,18.957,-0.99,80,75,4.12,NO,1682111556
239,mount gambier,-37.8333,140.7667,11.42,92,63,2.2,AU,1682111559
240,caraballeda,10.6112,-66.8522,29.37,89,100,1.85,VE,1682111560
241,jamestown,42.097,-79.2353,22.51,70,40,6.17,US,1682111439
242,charles city,43.0664,-92.6724,5.98,68,75,8.75,US,1682111560
243,bowen,-20.0167,148.2333,22.53,82,66,5.8,AU,1682111560
244,mahayag,8.1183,123.4455,23.96,93,100,0.49,PH,1682111560
245,gerash,27.6652,54.1371,21.08,36,1,1.04,IR,1682111560
246,debre werk',10.6667,38.1667,17.02,37,98,2.02,ET,1682111560
247,dunedin,-45.8742,170.5036,15.04,10,71,1.75,NZ,1682111272
248,holualoa,19.6228,-155.9522,26.54,76,40,5.14,US,1682111560
249,east ballina,-28.8667,153.5833,16.0,74,100,7.44,AU,1682111561
250,linden,6.0,-58.3,25.43,93,98,2.12,GY,1682111561
251,taulaga,-11.0553,-171.0883,28.87,75,33,6.83,AS,1682111561
252,afaahiti,-17.75,-149.2833,29.93,82,93,7.94,PF,1682111561
253,glace bay,46.1969,-59.957,7.65,80,29,4.92,CA,1682111561
254,huarmey,-10.0681,-78.1522,26.12,74,47,4.31,PE,1682111561
255,augusto correa,-1.0217,-46.635,25.86,88,16,2.4,BR,1682111561
256,san luis de la loma,17.2706,-100.8939,30.39,51,20,5.32,MX,1682111561
257,sattenapalle,16.4,80.1833,27.24,81,37,1.81,IN,1682111561
258,la passe,45.5549,-0.8967,15.13,85,100,4.68,FR,1682111561
259,port alfred,-33.5906,26.891,14.54,88,100,1.35,ZA,1682111561
260,klyuchi,52.2667,79.1667,-1.7,73,8,1.85,RU,1682111561
261,saldanha,-33.0117,17.9442,14.11,61,100,3.79,ZA,1682111561
262,road town,18.4167,-64.6167,28.05,65,40,3.09,VG,1682111562
263,crane,31.3974,-102.3501,24.84,8,0,5.99,US,1682111562
264,susuman,62.7833,148.1667,-9.56,94,94,1.66,RU,1682111562
265,alaghsas,17.0187,8.0168,31.99,11,0,4.75,NE,1682111562
266,kununurra,-15.7667,128.7333,25.99,50,100,3.6,AU,1682111562
267,beloyarskiy,63.7119,66.6722,-2.24,98,96,1.52,RU,1682111562
268,vertientes,21.2594,-78.1464,24.34,50,36,2.63,CU,1682111562
269,stephenville,32.2207,-98.2023,24.41,22,0,3.09,US,1682111562
270,casablanca,33.5928,-7.6192,16.12,74,100,0.67,MA,1682111550
271,alesund,62.4723,6.1549,9.39,81,0,4.63,NO,1682111562
272,fort st. john,56.2499,-120.8529,6.77,39,65,2.62,CA,1682111484
273,aasiaat,68.7098,-52.8699,-1.25,80,100,1.36,GL,1682111562
274,lycksele,64.5954,18.6735,1.93,75,82,1.54,SE,1682111562
275,turpan,42.9333,89.1667,15.78,14,99,0.89,CN,1682111562
276,magadan,59.5667,150.8,-0.05,75,49,8.95,RU,1682111518
277,freetown,8.484,-13.2299,26.82,80,100,4.79,SL,1682111563
278,yuzhno-kurilsk,44.0306,145.8556,1.85,95,87,11.97,RU,1682111563
279,isafjordur,66.0755,-23.124,-0.47,71,40,3.19,IS,1682111385
280,suntar,62.1444,117.6319,-13.22,97,98,1.07,RU,1682111563
281,slave lake,55.2834,-114.769,7.21,36,92,3.55,CA,1682111563
282,aykhal,66.0,111.5,-16.75,100,100,2.41,RU,1682111563
283,duluth,46.7833,-92.1066,3.37,84,100,6.17,US,1682111563
284,inhambane,-23.865,35.3833,22.37,79,91,1.04,MZ,1682111563
285,lai,9.3952,16.2989,31.5,41,100,5.25,TD,1682111563
286,thompson,55.7435,-97.8558,-0.18,89,100,3.91,CA,1682111563
287,kangaba,11.9333,-8.4167,34.56,19,99,0.46,ML,1682111563
288,windhoek,-22.5594,17.0832,17.28,63,100,2.45,NA,1682111563
289,kruisfontein,-34.0033,24.7314,12.71,68,100,2.11,ZA,1682111564
290,danielskuil,-28.1887,23.5395,10.49,16,1,4.21,ZA,1682111564
291,mweka,-4.85,21.5667,20.83,99,100,1.68,CD,1682111564
292,trutnov,50.561,15.9127,10.79,73,14,2.46,CZ,1682111564
293,conduaga,8.862,117.4893,25.71,85,84,1.84,PH,1682111564
294,atafu village,-8.5421,-172.5159,28.62,75,17,4.76,TK,1682111564
295,papao,-17.75,-149.55,30.82,84,78,9.74,PF,1682111564
296,al-hamdaniya,36.2715,43.3737,16.75,43,1,3.11,IQ,1682111564
297,alice springs,-23.7,133.8833,8.75,93,9,0.0,AU,1682111564
298,ulladulla,-35.35,150.4667,13.49,81,23,2.29,AU,1682111564
299,yung shue wan,22.2333,114.1167,23.15,89,100,7.69,HK,1682111564
300,enchanted hills,35.3368,-106.593,20.03,17,50,6.71,US,1682111564
301,perstorp,56.1383,13.3948,7.68,75,4,0.0,SE,1682111565
302,katsuren-haebaru,26.3369,127.8719,22.01,94,100,4.63,JP,1682111565
303,chonchi,-42.6128,-73.8092,13.56,85,78,0.75,CL,1682111565
304,forked river,39.8398,-74.1901,21.19,78,92,1.79,US,1682111523
305,tantoyuca,21.35,-98.2333,33.97,51,63,3.07,MX,1682111565
306,tazacorte,28.629,-17.9293,20.54,93,20,2.24,ES,1682111565
307,san patricio,28.017,-97.5169,26.97,65,51,7.95,US,1682111565
308,saint-philippe,-21.3585,55.7679,24.77,81,38,4.23,RE,1682111565
309,bandipura,34.4167,74.65,6.51,81,93,2.24,IN,1682111565
310,smithers,54.7804,-127.1743,7.83,66,100,1.91,CA,1682111565
311,mount isa,-20.7333,139.5,20.87,40,0,4.12,AU,1682111565
312,linxia chengguanzhen,35.6003,103.2064,3.69,76,100,1.26,CN,1682111565
313,dzhambeyty,50.2536,52.595,12.23,67,100,9.14,KZ,1682111565
314,mampong,7.0627,-1.4001,24.78,84,89,1.31,GH,1682111566
315,howrah,22.5892,88.3103,30.0,48,40,2.06,IN,1682111566
316,arraial do cabo,-22.9661,-42.0278,22.92,73,0,1.54,BR,1682111365
317,polyarnyy,69.1989,33.4478,-2.1,95,100,3.06,RU,1682111566
318,lorengau,-2.0226,147.2712,27.32,78,53,1.39,PG,1682111566
319,carutapera,-1.195,-46.02,26.5,85,10,3.83,BR,1682111566
320,narvik,68.4384,17.4272,1.88,94,100,3.81,NO,1682111566
321,el rama,12.1596,-84.2195,30.81,54,93,4.04,NI,1682111566
322,puerto baquerizo moreno,-0.9,-89.6,27.55,83,40,3.09,EC,1682111545
323,taoudenni,22.6783,-3.9836,28.12,7,60,4.12,ML,1682111566
324,touros,-5.1989,-35.4608,26.52,76,96,4.99,BR,1682111322
325,port hedland,-20.3167,118.5667,23.03,40,99,4.12,AU,1682111566
326,mosfellsbaer,64.1667,-21.7,4.01,70,16,4.23,IS,1682111566
327,belyy yar,53.6039,91.3903,-8.06,86,85,1.0,RU,1682111566
328,lindi,-10.0,39.7167,23.41,98,92,2.12,TZ,1682111566
329,songjianghe,42.1859,127.479,-3.07,35,91,1.83,CN,1682111567
330,krasnovishersk,60.4078,57.082,3.52,90,100,1.4,RU,1682111463
331,al jaradiyah,16.5795,42.9124,32.37,51,55,2.32,SA,1682111567
332,kudat,6.8837,116.8477,26.14,83,41,3.56,MY,1682111567
333,kudymkar,59.0173,54.656,5.09,69,100,1.4,RU,1682111567
334,vila velha,-20.3297,-40.2925,23.97,79,100,3.6,BR,1682111567
335,shanhecun,44.7,127.2,-0.17,34,4,1.73,CN,1682111567
336,faya-largeau,17.9257,19.1043,30.93,11,0,1.95,TD,1682111567
337,aldan,58.6031,125.3894,-9.77,97,99,1.21,RU,1682111567
338,mejit,10.2753,170.8646,26.82,72,99,7.01,MH,1682111567
339,beawar,26.1,74.3167,24.49,19,6,3.39,IN,1682111567
340,lensk,60.7253,114.9278,-9.03,95,26,1.3,RU,1682111567
341,nishinoomote,30.7333,131.0,19.26,84,17,11.17,JP,1682111567
342,kaspiyskiy,45.3929,47.3707,13.54,73,61,4.95,RU,1682111567
343,manokwari,-0.8667,134.0833,24.61,92,100,2.72,ID,1682111568
344,porto novo,6.4965,2.6036,27.98,80,100,4.31,BJ,1682111568
345,bel ombre,-4.6167,55.4167,28.45,74,92,3.33,SC,1682111568
346,marquette,46.5333,-87.6335,9.35,48,86,3.58,US,1682111568
347,alpine,32.835,-116.7664,30.5,20,0,3.13,US,1682111538
348,mandal,25.45,74.5667,25.03,19,96,3.55,IN,1682111568
349,oriximina,-1.7656,-55.8661,28.31,80,95,0.78,BR,1682111568
350,megion,61.0296,76.1136,4.01,93,96,4.02,RU,1682111568
351,broome,42.2506,-75.833,29.21,31,20,6.17,US,1682111568
352,carnarvon,-24.8667,113.6333,22.14,41,0,4.6,AU,1682111568
353,puerto gaitan,4.3133,-72.0816,28.61,67,100,5.7,CO,1682111568
354,berezovyy,51.6667,135.7,-1.2,92,100,1.58,RU,1682111568
355,birobidzhan,48.8,132.95,1.35,75,88,2.15,RU,1682111568
356,ocean shores,46.9737,-124.1563,12.2,79,100,5.14,US,1682111569
357,st. john's,47.5649,-52.7093,3.15,94,100,10.8,CA,1682111284
358,khandyga,62.6667,135.6,-4.44,92,100,0.57,RU,1682111569
359,kiunga,-6.1219,141.2906,22.75,100,97,0.42,PG,1682111569
360,rahon,31.05,76.1167,18.19,45,79,3.42,IN,1682111569
361,bayan,46.0833,127.4,0.14,52,0,3.13,CN,1682111569
362,karratha,-20.7377,116.8463,23.97,41,100,5.13,AU,1682111569
363,masterton,-40.9597,175.6575,15.02,99,100,0.49,NZ,1682111569
364,scarborough,54.2797,-0.4044,7.96,92,100,2.68,GB,1682111437
